Hotel,IsCanceled,LeadTime,ArrivalDateMonth,ArrivalDateDayOfMonth,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,Country,MarketSegment,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,BookingChanges,DepositType,DaysInWaitingList,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests
3690,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3691,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,1,No Deposit,122,Transient-Party,136.5,0,0
3693,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3694,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3696,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3697,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3698,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3699,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3700,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3701,Resort Hotel,0,165,12,30,0,4,1,0.0,0,Undefined,PRT,Groups,0,0,0,A,3,No Deposit,122,Transient-Party,94.25,0,0
3703,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient,136.5,0,0
3704,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3705,Resort Hotel,0,165,12,30,0,4,1,0.0,0,HB,PRT,Groups,0,0,0,A,5,No Deposit,122,Transient-Party,84.5,0,0
3706,Resort Hotel,0,165,12,30,0,4,1,0.0,0,HB,PRT,Groups,0,0,0,A,1,No Deposit,122,Transient-Party,84.5,0,0
6637,Resort Hotel,0,322,6,22,0,3,2,0.0,0,HB,POL,Groups,0,0,0,A,0,No Deposit,75,Transient-Party,92.0,0,0
6638,Resort Hotel,0,322,6,22,0,3,2,0.0,0,HB,POL,Groups,0,0,0,A,0,No Deposit,75,Transient-Party,92.0,0,0
6640,Resort Hotel,0,322,6,22,0,3,2,0.0,0,HB,POL,Groups,0,0,0,A,0,No Deposit,75,Transient-Party,92.0,0,0
6641,Resort Hotel,0,322,6,22,0,3,2,0.0,0,HB,POL,Groups,0,0,0,A,0,No Deposit,75,Transient-Party,92.0,0,0
6642,Resort Hotel,0,322,6,22,0,3,2,0.0,0,HB,POL,Groups,0,0,0,A,0,No Deposit,75,Transient-Party,92.0,0,0
6643,Resort Hotel,0,322,6,22,0,3,2,0.0,0,HB,POL,Groups,0,0,0,A,1,No Deposit,75,Transient-Party,92.0,0,0
6644,Resort Hotel,0,322,6,22,0,3,2,0.0,0,HB,POL,Groups,0,0,0,A,0,No Deposit,75,Transient-Party,92.0,0,0
6645,Resort Hotel,0,322,6,22,0,3,2,0.0,0,HB,POL,Groups,0,0,0,A,0,No Deposit,75,Transient-Party,92.0,0,0
6648,Resort Hotel,0,322,6,22,0,3,2,0.0,0,HB,POL,Groups,0,0,0,A,1,No Deposit,75,Transient-Party,92.0,0,0
6649,Resort Hotel,0,322,6,22,0,3,2,0.0,0,HB,POL,Groups,0,0,0,A,0,No Deposit,75,Transient-Party,92.0,0,0
6652,Resort Hotel,0,322,6,22,0,3,2,0.0,0,HB,POL,Groups,0,0,0,A,0,No Deposit,75,Transient-Party,92.0,0,0
6653,Resort Hotel,0,322,6,22,0,3,2,0.0,0,HB,POL,Groups,0,0,0,A,0,No Deposit,75,Transient-Party,92.0,0,0
6655,Resort Hotel,0,322,6,22,0,3,2,0.0,0,HB,POL,Groups,0,0,0,A,0,No Deposit,75,Transient-Party,92.0,0,0
6658,Resort Hotel,0,322,6,22,0,3,2,0.0,0,HB,POL,Groups,0,0,0,A,0,No Deposit,75,Transient-Party,92.0,0,0
6659,Resort Hotel,0,322,6,22,0,3,2,0.0,0,HB,POL,Groups,0,0,0,A,0,No Deposit,75,Transient-Party,92.0,0,0
6660,Resort Hotel,0,322,6,22,0,3,1,0.0,0,HB,POL,Groups,0,0,0,A,1,No Deposit,75,Transient-Party,76.0,0,0
6661,Resort Hotel,0,322,6,22,0,3,2,0.0,0,HB,POL,Groups,0,0,0,A,0,No Deposit,75,Transient-Party,92.0,0,0
6662,Resort Hotel,0,322,6,22,0,3,2,0.0,0,HB,POL,Groups,0,0,0,A,0,No Deposit,75,Transient-Party,92.0,0,0
8693,Resort Hotel,0,337,10,9,2,5,2,0.0,0,HB,GBR,Groups,0,0,0,D,0,No Deposit,101,Transient-Party,66.28,0,0
8694,Resort Hotel,0,337,10,9,2,5,2,0.0,0,HB,GBR,Groups,0,0,0,D,0,No Deposit,101,Transient-Party,67.99,0,2
8695,Resort Hotel,0,337,10,9,2,5,1,0.0,0,HB,GBR,Groups,0,0,0,A,1,No Deposit,101,Transient-Party,42.81,0,0
8696,Resort Hotel,0,337,10,9,2,5,2,0.0,0,HB,GBR,Groups,0,0,0,D,0,No Deposit,101,Transient-Party,66.28,0,0
8697,Resort Hotel,0,337,10,9,2,5,2,0.0,0,HB,GBR,Groups,0,0,0,D,0,No Deposit,101,Transient-Party,66.28,0,0
8698,Resort Hotel,0,337,10,9,2,5,1,0.0,0,HB,GBR,Groups,0,0,0,A,1,No Deposit,101,Transient-Party,42.81,0,0
8699,Resort Hotel,0,337,10,9,2,5,1,0.0,0,HB,GBR,Groups,0,0,0,A,1,No Deposit,101,Transient-Party,44.81,0,0
8700,Resort Hotel,0,337,10,9,2,5,2,0.0,0,HB,PRT,Groups,0,0,0,D,0,No Deposit,101,Transient-Party,67.99,0,0
8701,Resort Hotel,0,337,10,9,2,5,2,0.0,0,HB,GBR,Groups,0,0,0,D,0,No Deposit,101,Transient-Party,67.99,0,0
8702,Resort Hotel,0,337,10,9,2,5,2,0.0,0,HB,GBR,Groups,0,0,0,D,0,No Deposit,101,Transient-Party,66.28,0,0
8703,Resort Hotel,0,337,10,9,2,5,2,0.0,0,HB,GBR,Groups,0,0,0,D,0,No Deposit,101,Transient-Party,66.28,0,0
8704,Resort Hotel,0,337,10,9,2,5,2,0.0,0,HB,GBR,Groups,0,0,0,D,0,No Deposit,101,Transient-Party,67.99,0,0
8705,Resort Hotel,0,337,10,9,2,5,2,0.0,0,HB,GBR,Groups,0,0,0,D,0,No Deposit,101,Transient-Party,67.99,0,0
8706,Resort Hotel,0,337,10,9,2,5,2,0.0,0,HB,GBR,Groups,0,0,0,D,0,No Deposit,101,Transient-Party,67.99,0,0
8707,Resort Hotel,0,337,10,9,2,5,2,0.0,0,HB,GBR,Groups,0,0,0,D,0,No Deposit,101,Transient-Party,67.99,0,0
8708,Resort Hotel,1,337,10,9,4,6,2,0.0,0,HB,PRT,Groups,0,0,0,D,0,No Deposit,101,Transient-Party,72.45,0,0
8723,Resort Hotel,0,339,10,11,2,5,2,0.0,0,BB,GBR,Groups,0,0,0,E,0,Refundable,150,Transient-Party,80.81,0,0
8724,Resort Hotel,0,339,10,11,2,5,1,0.0,0,BB,GBR,Groups,0,0,0,A,1,Refundable,150,Transient-Party,44.36,0,0
8726,Resort Hotel,0,339,10,11,2,5,1,0.0,0,BB,GBR,Groups,0,0,0,A,1,Refundable,150,Transient-Party,46.36,0,0
8727,Resort Hotel,0,339,10,11,2,5,2,0.0,0,BB,GBR,Groups,0,0,0,E,0,Refundable,150,Transient-Party,80.81,0,0
8785,Resort Hotel,0,342,10,14,2,5,1,0.0,0,BB,GBR,Groups,0,0,0,E,1,No Deposit,125,Transient-Party,71.56,0,0
8786,Resort Hotel,0,342,10,14,2,5,1,0.0,0,BB,GBR,Groups,0,0,0,E,1,No Deposit,125,Transient-Party,71.56,0,0
8787,Resort Hotel,0,342,10,14,2,5,2,0.0,0,BB,GBR,Groups,0,0,0,E,0,No Deposit,125,Transient-Party,80.81,0,0
8788,Resort Hotel,0,342,10,14,2,5,2,0.0,0,BB,GBR,Groups,0,0,0,E,0,No Deposit,125,Transient-Party,80.81,0,0
8789,Resort Hotel,0,342,10,14,2,5,2,0.0,0,BB,GBR,Groups,0,0,0,E,0,No Deposit,125,Transient-Party,80.81,0,0
8791,Resort Hotel,0,342,10,14,2,5,2,0.0,0,BB,GBR,Groups,0,0,0,E,0,No Deposit,125,Transient-Party,80.81,0,0
8792,Resort Hotel,1,342,10,14,2,5,2,0.0,0,HB,PRT,Groups,0,0,0,E,0,No Deposit,125,Transient-Party,78.81,0,0
8793,Resort Hotel,0,342,10,14,2,5,2,0.0,0,BB,GBR,Groups,0,0,0,E,0,No Deposit,125,Transient-Party,80.81,0,0
8794,Resort Hotel,0,342,10,14,2,5,1,0.0,0,BB,GBR,Groups,0,0,0,E,1,No Deposit,125,Transient-Party,71.56,0,0
8795,Resort Hotel,0,342,10,14,2,5,1,0.0,0,BB,GBR,Groups,0,0,0,A,1,No Deposit,125,Transient-Party,44.36,0,0
8796,Resort Hotel,0,342,10,14,2,5,2,0.0,0,BB,GBR,Groups,0,0,0,D,0,No Deposit,125,Transient-Party,71.36,0,0
8797,Resort Hotel,0,342,10,14,2,5,2,0.0,0,BB,GBR,Groups,0,0,0,E,0,No Deposit,125,Transient-Party,80.81,0,0
8798,Resort Hotel,0,342,10,14,2,5,1,0.0,0,BB,GBR,Groups,0,0,0,E,1,No Deposit,125,Transient-Party,71.56,0,0
8799,Resort Hotel,0,342,10,14,2,5,1,0.0,0,BB,GBR,Groups,0,0,0,A,1,No Deposit,125,Transient-Party,46.36,0,0
8801,Resort Hotel,0,342,10,14,2,5,2,0.0,0,BB,BRA,Groups,0,0,0,E,0,No Deposit,125,Transient-Party,80.81,0,0
10353,Resort Hotel,1,63,2,28,0,2,2,0.0,0,BB,PRT,Groups,0,0,0,A,0,Non Refund,14,Transient,35.0,0,0
10472,Resort Hotel,1,146,3,9,0,3,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,Non Refund,60,Transient,46.0,0,0
10536,Resort Hotel,1,146,3,13,1,0,1,0.0,0,BB,PRT,Groups,0,0,0,A,0,No Deposit,34,Transient-Party,36.0,0,0
10560,Resort Hotel,1,194,3,14,4,14,2,0.0,0,HB,PRT,Groups,0,0,0,A,0,No Deposit,50,Transient-Party,62.0,0,0
10574,Resort Hotel,1,194,3,14,4,14,1,0.0,0,HB,PRT,Groups,0,0,0,A,0,No Deposit,50,Transient-Party,44.0,0,0
10808,Resort Hotel,1,252,4,5,1,4,1,0.0,0,BB,PRT,Groups,0,0,0,C,4,No Deposit,100,Transient-Party,42.0,0,0
10895,Resort Hotel,1,146,4,9,2,5,2,0.0,0,HB,PRT,Groups,0,0,0,A,0,Non Refund,22,Transient,80.0,0,0
11227,Resort Hotel,1,221,4,29,2,1,2,0.0,0,HB,PRT,Groups,0,0,0,D,0,No Deposit,121,Transient-Party,85.0,0,0
11443,Resort Hotel,1,217,5,8,2,5,2,0.0,0,HB,PRT,Groups,0,0,0,A,2,No Deposit,61,Transient-Party,80.0,0,0
11826,Resort Hotel,1,450,5,31,2,4,2,0.0,0,BB,PRT,Groups,0,0,0,A,0,Non Refund,39,Transient,71.1,0,0
11998,Resort Hotel,1,309,6,8,2,3,2,0.0,0,HB,PRT,Groups,0,0,0,A,0,Non Refund,5,Transient,66.0,0,0
12001,Resort Hotel,1,309,6,8,2,3,1,0.0,0,HB,PRT,Groups,0,0,0,A,0,Non Refund,5,Transient,74.0,0,0
12691,Resort Hotel,1,16,7,12,0,3,2,0.0,0,BB,PRT,Direct,0,0,0,E,1,No Deposit,1,Transient,192.38,0,1
15129,Resort Hotel,0,29,4,13,0,3,2,0.0,0,HB,PRT,Direct,1,1,11,E,1,No Deposit,8,Transient,126.5,1,4
17426,Resort Hotel,0,59,10,8,0,3,2,0.0,0,BB,PRT,Corporate,0,0,0,A,0,No Deposit,50,Contract,45.0,0,0
17439,Resort Hotel,0,59,10,8,0,3,2,0.0,0,BB,PRT,Corporate,0,0,0,A,0,No Deposit,50,Contract,45.0,0,0
17859,Resort Hotel,0,47,10,19,1,4,2,0.0,0,HB,ESP,Groups,0,0,0,A,0,No Deposit,47,Transient-Party,76.8,0,0
17860,Resort Hotel,0,47,10,19,1,4,1,0.0,0,HB,ESP,Groups,0,0,0,A,1,No Deposit,47,Transient-Party,76.8,0,0
18559,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
18560,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
18561,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
18562,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
18563,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
18564,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
18565,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
18584,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,1,No Deposit,65,Transient-Party,69.0,0,0
19763,Resort Hotel,0,12,10,1,2,3,2,0.0,0,BB,PRT,Offline TA/TO,1,0,1,E,1,No Deposit,1,Transient,108.4,1,0
21744,Resort Hotel,0,133,3,14,0,5,2,0.0,0,HB,DEU,Direct,1,0,1,E,0,No Deposit,107,Transient-Party,80.0,0,1
23171,Resort Hotel,0,284,3,21,2,5,2,0.0,0,BB,GBR,Groups,1,0,4,D,0,No Deposit,43,Transient-Party,45.51,0,0
23608,Resort Hotel,0,64,4,27,0,3,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,52,Transient-Party,85.33,0,0
25391,Resort Hotel,0,322,6,22,0,3,2,0.0,0,HB,POL,Groups,0,0,0,A,0,No Deposit,75,Transient-Party,92.0,0,0
26078,Resort Hotel,0,171,7,9,4,5,2,0.0,0,BB,GBR,Offline TA/TO,1,0,1,A,0,No Deposit,11,Contract,104.85,0,3
28936,Resort Hotel,0,337,10,9,2,5,2,0.0,0,HB,GBR,Groups,0,0,0,D,0,No Deposit,101,Transient-Party,67.99,0,0
28937,Resort Hotel,0,337,10,9,2,5,2,0.0,0,HB,GBR,Groups,0,0,0,D,0,No Deposit,101,Transient-Party,66.28,0,0
28988,Resort Hotel,0,339,10,11,2,5,2,0.0,0,BB,GBR,Groups,0,0,0,D,0,Refundable,150,Transient-Party,71.36,0,0
28989,Resort Hotel,0,339,10,11,2,5,2,0.0,0,BB,GBR,Groups,0,0,0,E,0,Refundable,150,Transient-Party,78.81,0,0
28990,Resort Hotel,0,339,10,11,2,5,2,0.0,0,BB,GBR,Groups,0,0,0,E,0,Refundable,150,Transient-Party,80.81,0,0
28991,Resort Hotel,0,339,10,11,2,5,1,0.0,0,BB,GBR,Groups,0,0,0,A,1,Refundable,150,Transient-Party,46.36,0,0
28992,Resort Hotel,0,339,10,11,2,5,2,0.0,0,BB,GBR,Groups,0,0,0,E,0,Refundable,150,Transient-Party,78.81,0,0
28993,Resort Hotel,0,339,10,11,2,5,1,0.0,0,BB,GBR,Groups,0,0,0,A,1,Refundable,150,Transient-Party,46.36,0,0
